n,tp,tn,fp,fn,accuracy,precision_up,recall_up,f1_up,precision_down,recall_down,f1_down,weighted_f1,predicted_up_rate,model_name,threshold
7104,441,3399,389,2875,0.5405405405405406,0.5313253012048192,0.13299155609167673,0.21273516642547036,0.5417596429709914,0.8973072861668426,0.6756112104949314,0.45955026424854456,0.11683558558558559,random_forest,0.52
7104,226,3608,180,3090,0.5396959459459459,0.5566502463054187,0.06815440289505428,0.12144008597528211,0.5386682591818454,0.9524815205913411,0.6881556360862101,0.42362456004907084,0.0571509009009009,random_forest,0.53
7104,96,3722,66,3220,0.5374436936936937,0.5925925925925926,0.028950542822677925,0.05520414031052328,0.5361567271679631,0.9825765575501584,0.6937558247903075,0.395693129726264,0.022804054054054054,random_forest,0.54
7104,28,3774,14,3288,0.5351914414414415,0.6666666666666666,0.008443908323281062,0.016676593210244194,0.5344095157179269,0.9963041182682154,0.6956682027649771,0.37872898862034104,0.0059121621621621625,random_forest,0.55
7104,1,3787,1,3315,0.5332207207207207,0.5,0.00030156815440289503,0.0006027727546714888,0.5332300760349198,0.9997360084477297,0.6955004591368228,0.3711366179145235,0.00028153153153153153,random_forest,0.56
7104,0,3788,0,3316,0.5332207207207207,,0.0,,0.5332207207207207,1.0,0.6955563716489166,,0.0,random_forest,0.57
7104,0,3788,0,3316,0.5332207207207207,,0.0,,0.5332207207207207,1.0,0.6955563716489166,,0.0,random_forest,0.58
7104,0,3788,0,3316,0.5332207207207207,,0.0,,0.5332207207207207,1.0,0.6955563716489166,,0.0,random_forest,0.59
7104,0,3788,0,3316,0.5332207207207207,,0.0,,0.5332207207207207,1.0,0.6955563716489166,,0.0,random_forest,0.6
7104,0,3788,0,3316,0.5332207207207207,,0.0,,0.5332207207207207,1.0,0.6955563716489166,,0.0,random_forest,0.61
7104,0,3788,0,3316,0.5332207207207207,,0.0,,0.5332207207207207,1.0,0.6955563716489166,,0.0,random_forest,0.62
7104,0,3788,0,3316,0.5332207207207207,,0.0,,0.5332207207207207,1.0,0.6955563716489166,,0.0,random_forest,0.63
7104,0,3788,0,3316,0.5332207207207207,,0.0,,0.5332207207207207,1.0,0.6955563716489166,,0.0,random_forest,0.64
7104,0,3788,0,3316,0.5332207207207207,,0.0,,0.5332207207207207,1.0,0.6955563716489166,,0.0,random_forest,0.65
